Id,component number,modularity class,gender,age,horoscope,language (native),locale (current),education (attained),Degree,Weighted Degree,Eccentricity,closness centrality,harmonic closness centrality,betweenesscentrality,clustering,triangles,eigencentrality,"Cluster, Eigencentrality, Harmonic Closeness, Betweeness Score",Degree Score,Eccentricity Score,Total Centrality Score
29,2,3,1,0,1,1,3,1,1,1,3,0.5,0.547619,0,0,0,0.00225,0.08248035,0.015,0.05,0.14748035
30,2,3,0,1,4,4,2,2,3,3,2,0.636364,0.714286,0.000188,0.333333,1,0.004788,0.1745653,0.045,0.075,0.2945653
112,2,3,0,1,6,4,1,3,2,2,3,0.538462,0.619048,0,1,1,0.003548,0.2933894,0.03,0.05,0.3733894
120,2,3,1,1,9,2,4,4,2,2,3,0.466667,0.571429,0.000031,0,0,0.002851,0.0861482,0.03,0.05,0.1661482
128,2,3,0,2,2,1,4,3,2,2,3,0.538462,0.619048,0,1,1,0.003548,0.2933894,0.03,0.05,0.3733894
139,2,3,0,0,4,4,4,4,6,6,2,0.875,0.928571,0.000973,0.133333,2,0.007807,0.1673179,0.09,0.075,0.3323179
145,2,3,1,0,3,4,3,1,2,2,2,0.583333,0.642857,0.000126,0,0,0.003457,0.0969723,0.03,0.075,0.2019723
149,2,3,1,1,11,3,3,4,2,2,2,0.583333,0.642857,0,1,1,0.003812,0.29700035,0.03,0.075,0.40200035
15,1,1,0,3,7,1,4,2,3,3,2,0.714286,0.8,0.000094,0.666667,2,0.004524,0.2540308,0.045,0.075,0.3740308
18,1,1,0,1,12,4,2,3,2,2,3,0.555556,0.666667,0,1,1,0.00299,0.30044855,0.03,0.05,0.38044855
91,1,1,1,1,2,3,1,2,4,4,2,0.833333,0.9,0.000377,0.333333,2,0.005516,0.2025694,0.06,0.075,0.3375694
100,1,1,0,2,5,4,1,2,2,2,3,0.555556,0.666667,0,1,1,0.00299,0.30044855,0.03,0.05,0.38044855
117,1,1,1,3,4,4,2,4,2,2,3,0.5,0.633333,0,1,1,0.003057,0.2954585,0.03,0.05,0.3754585
127,1,1,1,0,7,4,3,3,3,3,2,0.714286,0.8,0.000094,0.666667,2,0.004524,0.2540308,0.045,0.075,0.3740308
160,0,0,1,1,11,1,3,4,15,15,10,0.18922,0.284315,0.062117,0.333333,35,0.0953,0.13603225,0.225,0.015,0.37603225
67,0,0,0,1,4,3,3,2,10,10,10,0.182724,0.251789,0.003407,0.777778,35,0.082863,0.2064348,0.15,0.015,0.3714348
176,0,0,1,1,2,1,4,4,12,12,10,0.187927,0.272193,0.014151,0.575758,38,0.091282,0.17250305,0.18,0.015,0.36750305
109,0,0,1,1,3,3,2,2,9,9,10,0.182522,0.248759,0.003377,0.805556,29,0.076602,0.21059075,0.135,0.015,0.36059075
50,0,0,0,1,11,1,1,2,9,9,9,0.214008,0.286077,0.075975,0.694444,25,0.076484,0.20846795,0.135,0.016666667,0.360134617
168,0,0,1,2,7,3,2,2,10,10,10,0.183537,0.25583,0.01665,0.688889,31,0.081555,0.19171555,0.15,0.015,0.35671555
0,0,0,1,2,7,1,2,2,8,8,10,0.18232,0.245729,0.001724,0.857143,24,0.07014,0.21915375,0.12,0.015,0.35415375
5,0,0,1,2,2,1,3,2,9,9,11,0.160662,0.227581,0.000248,0.722222,26,0.071856,0.18940955,0.135,0.013636364,0.338045914
65,0,0,0,1,3,3,2,2,7,7,9,0.213454,0.280017,0.056815,0.761905,16,0.063173,0.2152225,0.105,0.016666667,0.336889167
75,0,0,0,3,3,3,4,2,7,7,10,0.182119,0.242698,0.001724,0.809524,17,0.061673,0.20790525,0.105,0.015,0.32790525
172,0,0,0,2,7,3,4,2,6,6,11,0.159113,0.212934,0.000018,0.866667,13,0.050523,0.21285555,0.09,0.013636364,0.316491914
13,0,0,1,3,10,2,3,2,3,3,11,0.159729,0.209399,0,1,3,0.029154,0.23578295,0.045,0.013636364,0.294419314
9,0,0,0,2,7,4,4,4,3,3,12,0.139006,0.178081,0,1,3,0.0085,0.22798715,0.045,0.0125,0.28548715
41,0,0,1,1,12,1,1,2,3,3,12,0.139006,0.178081,0,1,3,0.0085,0.22798715,0.045,0.0125,0.28548715
173,0,0,0,0,10,3,3,4,4,4,12,0.139123,0.181112,0.000063,0.666667,4,0.010828,0.162137,0.06,0.0125,0.234637
119,0,0,0,1,7,2,3,4,3,3,11,0.160194,0.212429,0.003337,0.666667,2,0.017563,0.1684996,0.045,0.013636364,0.227135964
61,0,0,1,1,12,3,2,2,7,7,11,0.160976,0.225561,0.027588,0.285714,6,0.030904,0.10113015,0.105,0.013636364,0.219766514
133,0,0,1,1,6,1,3,4,1,1,11,0.159266,0.202328,0,0,0,0.010941,0.03199035,0.015,0.013636364,0.060626714
155,0,0,1,1,10,2,3,4,1,1,11,0.159266,0.202328,0,0,0,0.010941,0.03199035,0.015,0.013636364,0.060626714
51,0,2,1,1,6,3,1,3,17,17,9,0.247006,0.355161,0.141123,0.110294,15,0.089016,0.11690995,0.255,0.016666667,0.388576617
24,0,2,1,1,7,3,2,2,5,5,10,0.199516,0.257638,0,1,10,0.026264,0.2425853,0.075,0.015,0.3325853
90,0,2,1,2,3,2,4,4,5,5,10,0.199516,0.257638,0,1,10,0.026264,0.2425853,0.075,0.015,0.3325853
104,0,2,0,2,8,1,4,4,5,5,10,0.199516,0.257638,0,1,10,0.026264,0.2425853,0.075,0.015,0.3325853
68,0,2,0,1,7,3,1,3,6,6,10,0.205736,0.273396,0.002418,0.733333,11,0.032395,0.19301885,0.09,0.015,0.29801885
115,0,2,0,0,11,1,1,2,11,11,9,0.244083,0.340919,0.046195,0.163636,9,0.104936,0.10884445,0.165,0.016666667,0.290511117
82,0,2,1,0,8,1,2,2,2,2,10,0.206767,0.266628,0,1,1,0.020445,0.24306095,0.03,0.015,0.28806095
79,0,2,1,3,8,2,4,3,6,6,10,0.199758,0.260669,0.005342,0.666667,10,0.027546,0.17763405,0.09,0.015,0.28263405
88,0,2,0,2,1,3,4,4,7,7,8,0.263158,0.329805,0.123472,0.333333,7,0.097602,0.15547205,0.105,0.01875,0.27922205
23,0,2,1,1,8,1,3,1,2,2,11,0.178186,0.225498,0,1,1,0.010422,0.235388,0.03,0.013636364,0.279024364
98,0,2,1,3,3,1,2,3,2,2,12,0.159113,0.203111,0,1,1,0.007089,0.23153,0.03,0.0125,0.27403
132,0,2,1,2,3,1,2,3,8,8,10,0.209125,0.28784,0.009161,0.321429,9,0.03947,0.1152145,0.12,0.015,0.2502145
164,0,2,1,1,8,1,2,2,3,3,10,0.20073,0.256931,0.000381,0.666667,2,0.019619,0.1748921,0.045,0.015,0.2348921
53,0,2,1,2,8,1,2,2,5,5,9,0.21682,0.269202,0.003765,0.4,4,0.03183,0.1259078,0.075,0.016666667,0.217574467
175,0,2,1,2,8,2,2,2,6,6,10,0.210997,0.291073,0.010435,0.266667,4,0.044912,0.10581815,0.09,0.015,0.21081815
161,0,2,1,0,8,1,2,2,4,4,10,0.196429,0.245921,0.00028,0.333333,2,0.015123,0.1058792,0.06,0.015,0.1808792
25,0,2,1,1,8,4,2,2,3,3,9,0.220884,0.269101,0.008658,0.333333,1,0.017366,0.11136825,0.045,0.016666667,0.173034917
76,0,2,1,0,10,3,1,3,4,4,10,0.214844,0.295416,0.023085,0.166667,1,0.082877,0.09469435,0.06,0.015,0.16969435
80,0,2,1,0,8,3,1,2,5,5,11,0.188571,0.264892,0.040873,0.1,1,0.064164,0.077533,0.075,0.013636364,0.166169364
77,0,2,1,1,12,4,4,4,3,3,12,0.159266,0.206142,0.010294,0.333333,1,0.007832,0.1008215,0.045,0.0125,0.1583215
138,0,2,0,2,6,2,1,3,4,4,10,0.199758,0.256628,0.02529,0,0,0.013968,0.0456474,0.06,0.015,0.1206474
107,0,2,0,3,8,1,2,2,2,2,7,0.253067,0.279452,0.117733,0,0,0.011746,0.0672263,0.03,0.021428571,0.118654871
150,0,2,1,0,8,2,1,2,2,2,10,0.198079,0.247537,0.000063,0,0,0.01701,0.03969465,0.03,0.015,0.08469465
16,0,2,1,1,11,1,4,1,2,2,10,0.199035,0.249557,0.000438,0,0,0.01295,0.03946365,0.03,0.015,0.08446365
21,0,2,1,2,6,2,4,3,2,2,11,0.167683,0.204892,0.000094,0,0,0.0065,0.0317276,0.03,0.013636364,0.075363964
113,0,2,0,0,3,4,4,2,1,1,10,0.196429,0.239962,0,0,0,0.010045,0.03750105,0.015,0.015,0.06750105
33,0,2,0,3,6,1,1,3,1,1,11,0.166667,0.196811,0,0,0,0.002486,0.02989455,0.015,0.013636364,0.058530914
151,0,2,0,1,7,2,3,1,1,1,11,0.166667,0.196811,0,0,0,0.002486,0.02989455,0.015,0.013636364,0.058530914
10,0,2,1,1,11,1,4,2,1,1,12,0.158807,0.199071,0,0,0,0.005406,0.03067155,0.015,0.0125,0.05817155
96,0,2,0,1,2,1,1,3,1,1,13,0.1375,0.165533,0,0,0,0.001683,0.0250824,0.015,0.011538462,0.051620862
31,0,4,0,3,9,2,2,4,8,8,11,0.155075,0.201725,0,1,28,0.053173,0.2382347,0.12,0.013636364,0.371871064
93,0,4,0,0,12,1,3,4,8,8,11,0.155075,0.201725,0,1,28,0.053173,0.2382347,0.12,0.013636364,0.371871064
105,0,4,1,1,5,2,4,1,8,8,11,0.155075,0.201725,0,1,28,0.053173,0.2382347,0.12,0.013636364,0.371871064
141,0,4,0,1,5,3,4,3,8,8,11,0.155075,0.201725,0,1,28,0.053173,0.2382347,0.12,0.013636364,0.371871064
156,0,4,1,1,1,4,4,4,8,8,11,0.155075,0.201725,0,1,28,0.053173,0.2382347,0.12,0.013636364,0.371871064
170,0,4,1,1,5,2,2,2,8,8,11,0.155075,0.201725,0,1,28,0.053173,0.2382347,0.12,0.013636364,0.371871064
1,0,4,1,2,12,4,4,2,9,9,10,0.181918,0.236325,0.01971,0.833333,30,0.056592,0.21454615,0.135,0.015,0.36454615
84,0,4,1,2,12,3,3,4,9,9,10,0.181918,0.236325,0.01971,0.833333,30,0.056592,0.21454615,0.135,0.015,0.36454615
142,0,4,1,1,2,4,1,4,9,9,10,0.181918,0.236325,0.01971,0.833333,30,0.056592,0.21454615,0.135,0.015,0.36454615
69,0,4,1,3,2,1,1,3,4,4,9,0.217966,0.270111,0.08813,0.5,3,0.030329,0.162692,0.06,0.016666667,0.239358667
6,0,5,0,1,9,2,1,2,13,13,8,0.251908,0.333355,0.468523,0.076923,6,0.047751,0.1662551,0.195,0.01875,0.3800051
34,0,5,0,2,8,3,1,2,6,6,7,0.257009,0.298341,0.092983,0.733333,11,0.02571,0.21387085,0.09,0.021428571,0.325299421
114,0,5,0,0,8,1,1,2,6,6,7,0.257009,0.298341,0.092983,0.733333,11,0.02571,0.21387085,0.09,0.021428571,0.325299421
17,0,5,0,1,12,4,4,4,5,5,7,0.255418,0.293492,0.092234,0.8,8,0.022879,0.22590245,0.075,0.021428571,0.322331021
8,0,5,1,1,9,3,3,2,8,8,7,0.268293,0.313795,0.294604,0.321429,9,0.035963,0.1756703,0.12,0.021428571,0.317098871
49,0,5,0,0,9,3,4,4,4,4,11,0.147321,0.179608,0,1,6,0.013254,0.2289293,0.06,0.013636364,0.302565664
135,0,5,0,3,2,3,4,4,4,4,11,0.147321,0.179608,0,1,6,0.013254,0.2289293,0.06,0.013636364,0.302565664
35,0,5,0,2,12,2,1,2,5,5,7,0.233711,0.265772,0.000749,0.8,8,0.019597,0.20295515,0.075,0.021428571,0.299383721
97,0,5,0,3,8,3,2,2,3,3,11,0.14719,0.176578,0,1,3,0.010715,0.22809395,0.045,0.013636364,0.286730314
3,0,5,1,3,12,2,3,4,7,7,10,0.172054,0.218615,0.010106,0.571429,12,0.019798,0.15206895,0.105,0.015,0.27206895
39,0,5,1,0,4,1,1,3,7,7,10,0.172054,0.218615,0.010106,0.571429,12,0.019798,0.15206895,0.105,0.015,0.27206895
130,0,5,1,2,6,4,3,4,7,7,10,0.172054,0.218615,0.010106,0.571429,12,0.019798,0.15206895,0.105,0.015,0.27206895
116,0,5,0,1,8,4,3,3,5,5,7,0.25,0.287734,0.119096,0.5,5,0.01983,0.1699538,0.075,0.021428571,0.266382371
121,0,5,0,1,2,4,1,3,4,4,9,0.204715,0.253653,0.05913,0.5,3,0.017577,0.1525105,0.06,0.016666667,0.229177167
92,0,5,1,2,10,1,1,2,4,4,10,0.171518,0.209524,0.000377,0.5,3,0.012553,0.13338695,0.06,0.015,0.20838695
22,0,5,0,2,5,2,4,1,2,2,9,0.203453,0.244562,0.009855,0,0,0.00932,0.0400533,0.03,0.016666667,0.086719967
54,0,5,1,1,12,1,3,2,2,2,9,0.201958,0.240017,0.005116,0,0,0.008096,0.03824015,0.03,0.016666667,0.084906817
71,0,5,0,1,2,3,2,2,2,2,9,0.201958,0.240017,0.005116,0,0,0.008096,0.03824015,0.03,0.016666667,0.084906817
72,0,5,1,2,7,4,1,3,2,2,10,0.168539,0.193463,0.000031,0,0,0.003433,0.0295406,0.03,0.015,0.0745406
137,0,5,1,4,9,2,3,2,1,1,9,0.201465,0.235976,0,0,0,0.006862,0.0364257,0.015,0.016666667,0.068092367
2,0,6,1,2,2,4,4,2,5,5,12,0.140426,0.186465,0.000016,0.9,9,0.017081,0.2105351,0.075,0.0125,0.2980351
81,0,6,1,1,7,2,4,4,3,3,11,0.160662,0.208086,0,1,3,0.010237,0.23274845,0.045,0.013636364,0.291384814
148,0,6,1,2,7,2,3,2,3,3,11,0.160662,0.208086,0,1,3,0.010237,0.23274845,0.045,0.013636364,0.291384814
169,0,6,0,0,2,3,3,4,3,3,12,0.140068,0.179395,0,1,3,0.010899,0.2285441,0.045,0.0125,0.2860441
43,0,6,1,1,5,2,2,2,5,5,12,0.140426,0.186465,0.000054,0.8,8,0.016397,0.1904401,0.075,0.0125,0.2779401
38,0,6,1,3,4,4,3,4,7,7,11,0.162402,0.226773,0.029867,0.571429,12,0.024128,0.15789435,0.105,0.013636364,0.276530714
165,0,6,0,4,5,4,2,2,7,7,11,0.162402,0.226773,0.029867,0.571429,12,0.024128,0.15789435,0.105,0.013636364,0.276530714
66,0,6,0,0,4,2,2,2,6,6,12,0.140545,0.189496,0.005169,0.666667,10,0.018361,0.16554575,0.09,0.0125,0.26804575
70,0,6,0,4,5,3,3,4,2,2,13,0.123411,0.153226,0,1,1,0.006181,0.22391105,0.03,0.011538462,0.265449512
106,0,6,1,1,4,3,3,2,5,5,12,0.140426,0.186465,0.005078,0.7,7,0.015795,0.1713546,0.075,0.0125,0.2588546
4,0,6,1,1,1,1,4,2,9,9,10,0.190751,0.277244,0.126389,0.166667,6,0.04257,0.1065833,0.135,0.015,0.2565833
62,0,6,1,2,3,4,3,3,4,4,11,0.161448,0.213641,0.00022,0.666667,4,0.012179,0.1672504,0.06,0.013636364,0.240886764
147,0,6,1,2,2,2,4,2,3,3,11,0.162083,0.215662,0.002919,0.333333,1,0.012605,0.10149045,0.045,0.013636364,0.160126814
27,0,7,1,0,6,2,3,2,2,2,10,0.170279,0.200332,0,1,1,0.004457,0.23071835,0.03,0.015,0.27571835
28,0,7,1,1,12,1,2,3,2,2,10,0.170103,0.199322,0,1,1,0.004193,0.23052725,0.03,0.015,0.27552725
157,0,7,1,3,2,1,1,3,2,2,10,0.170103,0.199322,0,1,1,0.004193,0.23052725,0.03,0.015,0.27552725
111,0,7,1,0,9,2,4,4,6,6,9,0.204461,0.257694,0.06048,0.133333,2,0.013876,0.0794981,0.09,0.016666667,0.186164767
44,0,7,1,1,6,1,4,4,3,3,10,0.170455,0.203362,0.005147,0.333333,1,0.005439,0.09901615,0.045,0.015,0.15901615
125,0,7,0,1,5,4,4,1,2,2,10,0.170279,0.200332,0.005084,0,0,0.00406,0.0316756,0.03,0.015,0.0766756
85,0,7,0,1,5,1,2,3,2,2,11,0.146018,0.1688,0.000031,0,0,0.002944,0.0257678,0.03,0.013636364,0.069404164
58,0,8,0,4,9,2,4,4,4,4,10,0.179543,0.226032,0,1,6,0.014343,0.23605625,0.06,0.015,0.31105625
36,0,8,0,1,12,4,3,4,3,3,10,0.178959,0.220981,0,1,3,0.011014,0.23479925,0.045,0.015,0.29479925
110,0,8,0,1,8,2,2,2,9,9,9,0.21682,0.292946,0.198753,0.25,9,0.030116,0.1382099,0.135,0.016666667,0.289876567
108,0,8,1,1,5,2,3,2,5,5,10,0.179739,0.229062,0.000084,0.8,8,0.016193,0.19680505,0.075,0.015,0.28680505
46,0,8,1,1,6,3,2,2,2,2,10,0.178571,0.216941,0,1,1,0.006394,0.23350025,0.03,0.015,0.27850025
134,0,8,1,2,2,1,4,3,2,2,10,0.178571,0.216941,0,1,1,0.006394,0.23350025,0.03,0.015,0.27850025
14,0,8,1,0,12,2,4,2,2,2,11,0.153061,0.184753,0,1,1,0.006542,0.22869425,0.03,0.013636364,0.272330614
143,0,8,0,3,6,2,2,2,6,6,10,0.179935,0.232092,0.005168,0.6,9,0.017523,0.15847585,0.09,0.015,0.26347585
64,0,8,1,2,8,3,3,2,7,7,10,0.180131,0.235123,0.025548,0.333333,7,0.017492,0.10966845,0.105,0.015,0.22966845
11,0,8,1,0,2,3,2,2,1,1,11,0.152778,0.180712,0,0,0,0.003329,0.02760615,0.015,0.013636364,0.056242514
166,0,8,1,3,2,1,4,4,1,1,11,0.152778,0.180712,0,0,0,0.003329,0.02760615,0.015,0.013636364,0.056242514
86,0,9,1,1,8,4,4,4,14,14,10,0.204715,0.306975,0.019644,0.593407,54,0.254216,0.20678885,0.21,0.015,0.43178885
56,0,9,1,0,6,1,4,3,13,13,10,0.204461,0.303944,0.015929,0.666667,52,0.222643,0.21550725,0.195,0.015,0.42550725
95,0,9,1,1,2,2,3,3,12,12,10,0.196897,0.277985,0.009115,0.757576,50,0.162693,0.2194399,0.18,0.015,0.4144399
144,0,9,1,3,7,1,3,2,12,12,10,0.196897,0.277985,0.009115,0.757576,50,0.162693,0.2194399,0.18,0.015,0.4144399
146,0,9,1,0,5,2,3,4,11,11,11,0.171875,0.246984,0.000103,0.818182,45,0.146074,0.2226157,0.165,0.013636364,0.401252064
124,0,9,0,4,11,1,2,4,10,10,11,0.171696,0.243954,0.000058,0.866667,39,0.136144,0.2303597,0.15,0.013636364,0.393996064
12,0,9,0,1,2,3,3,3,9,9,11,0.171518,0.240924,0.000018,0.944444,34,0.12755,0.2441635,0.135,0.013636364,0.392799864
60,0,9,0,3,5,3,1,3,8,8,11,0.17134,0.237893,0,1,28,0.114628,0.25287815,0.12,0.013636364,0.386514514
159,0,9,0,1,1,4,3,3,8,8,11,0.17134,0.237893,0,1,28,0.114628,0.25287815,0.12,0.013636364,0.386514514
48,0,9,1,1,5,3,4,2,10,10,10,0.200243,0.282429,0.005954,0.711111,32,0.166651,0.210775,0.15,0.015,0.375775
74,0,9,1,1,4,1,3,2,8,8,10,0.195962,0.265863,0.002637,0.892857,25,0.121907,0.2372643,0.12,0.015,0.3722643
140,0,9,0,2,12,2,4,3,13,13,9,0.238439,0.339808,0.098228,0.269231,21,0.223194,0.1579421,0.195,0.016666667,0.369608767
63,0,9,1,0,5,1,3,2,7,7,11,0.171162,0.234863,0.000009,0.952381,20,0.103613,0.2412494,0.105,0.013636364,0.359885764
178,0,10,1,2,3,1,2,3,22,22,10,0.215969,0.349052,0.023626,0.562771,130,1,0.3196372,0.33,0.015,0.6646372
118,0,10,1,3,3,4,3,4,22,22,10,0.22449,0.359355,0.031846,0.549784,127,0.98248,0.31760125,0.33,0.015,0.66260125
122,0,10,1,1,5,4,4,3,21,21,10,0.222973,0.353295,0.019772,0.633333,133,0.992157,0.3324388,0.315,0.015,0.6624388
