Id,Label,Timeset,Score
0,0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100]","[0, 0]; [1, 0.01429]; [2, 0.03004]; [3, 0.04772]; [4, 0.0678]; [5, 0.05481]; [6, 0.04315]; [7, 0.03274]; [8, 0.0235]; [9, 0.01537]; [10, 0.0083]; [11, 0.00225]; [12, -0.00282]; [13, -0.00692]; [14, -0.0101]; [15, -0.01237]; [16, -0.01381]; [17, -0.01443]; [18, -0.01426]; [19, -0.01332]; [20, -0.01166]; [21, -0.00931]; [22, -0.0063]; [23, -0.00264]; [24, 0.00165]; [25, 0.00657]; [26, 0.01212]; [27, 0.01831]; [28, 0.02515]; [29, 0.03266]; [30, 0.04086]; [31, 0.04977]; [32, 0.05942]; [33, 0.06985]; [34, 0.08076]; [35, 0.09187]; [36, 0.10326]; [37, 0.11498]; [38, 0.12706]; [39, 0.13955]; [40, 0.15249]; [41, 0.16587]; [42, 0.17966]; [43, 0.19381]; [44, 0.20824]; [45, 0.22287]; [46, 0.23763]; [47, 0.25241]; [48, 0.26713]; [49, 0.28133]; [50, 0.29459]; [51, 0.30681]; [52, 0.31808]; [53, 0.32848]; [54, 0.33808]; [55, 0.34695]; [56, 0.35511]; [57, 0.36246]; [58, 0.36907]; [59, 0.37502]; [60, 0.38038]; [61, 0.3852]; [62, 0.38954]; [63, 0.39344]; [64, 0.39695]; [65, 0.40011]; [66, 0.40296]; [67, 0.40552]; [68, 0.40783]; [69, 0.4099]; [70, 0.41177]; [71, 0.41345]; [72, 0.41496]; [73, 0.41632]; [74, 0.41755]; [75, 0.41865]; [76, 0.41964]; [77, 0.42053]; [78, 0.42133]; [79, 0.42205]; [80, 0.4227]; [81, 0.42329]; [82, 0.42382]; [83, 0.4243]; [84, 0.42473]; [85, 0.42511]; [86, 0.42546]; [87, 0.42577]; [88, 0.42605]; [89, 0.4263]; [90, 0.42653]; [91, 0.42673]; [92, 0.42691]; [93, 0.42708]; [94, 0.42723]; [95, 0.42736]; [96, 0.42748]; [97, 0.42759]; [98, 0.42769]; [99, 0.42778]; [100, 0.42786]"
1,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100]","[0, 0]; [1, 0.0]; [2, 0.0]; [3, 3e-05]; [4, 0.00011]; [5, 0.00027]; [6, 0.00051]; [7, 0.0008]; [8, 0.0011]; [9, 0.00137]; [10, 0.0016]; [11, 0.00175]; [12, 0.00181]; [13, 0.00175]; [14, 0.00154]; [15, 0.00116]; [16, 0.00057]; [17, -0.00026]; [18, -0.00137]; [19, -0.0028]; [20, -0.00462]; [21, -0.00688]; [22, -0.00966]; [23, -0.01303]; [24, -0.01708]; [25, -0.02189]; [26, -0.02753]; [27, -0.03406]; [28, -0.04157]; [29, -0.0502]; [30, -0.0601]; [31, -0.07146]; [32, -0.08451]; [33, -0.09954]; [34, -0.11687]; [35, -0.13688]; [36, -0.16003]; [37, -0.18593]; [38, -0.2151]; [39, -0.24816]; [40, -0.28579]; [41, -0.32877]; [42, -0.37799]; [43, -0.43157]; [44, -0.48552]; [45, -0.53602]; [46, -0.58242]; [47, -0.62418]; [48, -0.66176]; [49, -0.69558]; [50, -0.72602]; [51, -0.75342]; [52, -0.77808]; [53, -0.80027]; [54, -0.82024]; [55, -0.83822]; [56, -0.8544]; [57, -0.86896]; [58, -0.88206]; [59, -0.89385]; [60, -0.90447]; [61, -0.91402]; [62, -0.92262]; [63, -0.93036]; [64, -0.93732]; [65, -0.94359]; [66, -0.94923]; [67, -0.95431]; [68, -0.95888]; [69, -0.96299]; [70, -0.96669]; [71, -0.97002]; [72, -0.97302]; [73, -0.97572]; [74, -0.97815]; [75, -0.98033]; [76, -0.9823]; [77, -0.98407]; [78, -0.98566]; [79, -0.98709]; [80, -0.98838]; [81, -0.98954]; [82, -0.99059]; [83, -0.99153]; [84, -0.99238]; [85, -0.99314]; [86, -0.99383]; [87, -0.99445]; [88, -0.995]; [89, -0.9955]; [90, -0.99595]; [91, -0.99635]; [92, -0.99671]; [93, -0.99704]; [94, -0.99734]; [95, -0.99761]; [96, -0.99785]; [97, -0.99806]; [98, -0.99825]; [99, -0.99843]; [100, -0.99859]"
2,2,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100]","[0, 0]; [1, 0.0]; [2, 0.0]; [3, 4e-05]; [4, 0.00017]; [5, 0.00043]; [6, 0.00088]; [7, 0.00157]; [8, 0.00257]; [9, 0.00395]; [10, 0.00579]; [11, 0.0082]; [12, 0.0113]; [13, 0.01523]; [14, 0.02016]; [15, 0.02629]; [16, 0.03386]; [17, 0.04315]; [18, 0.05451]; [19, 0.06833]; [20, 0.08508]; [21, 0.10525]; [22, 0.12936]; [23, 0.15798]; [24, 0.19181]; [25, 0.23166]; [26, 0.27848]; [27, 0.33181]; [28, 0.39026]; [29, 0.4507]; [30, 0.50563]; [31, 0.55507]; [32, 0.59956]; [33, 0.6396]; [34, 0.67564]; [35, 0.70808]; [36, 0.73727]; [37, 0.76354]; [38, 0.78719]; [39, 0.80847]; [40, 0.82762]; [41, 0.84486]; [42, 0.86037]; [43, 0.87433]; [44, 0.8869]; [45, 0.89821]; [46, 0.90839]; [47, 0.91755]; [48, 0.92579]; [49, 0.93321]; [50, 0.93989]; [51, 0.9459]; [52, 0.95131]; [53, 0.95618]; [54, 0.96056]; [55, 0.9645]; [56, 0.96805]; [57, 0.97124]; [58, 0.97412]; [59, 0.97671]; [60, 0.97904]; [61, 0.98114]; [62, 0.98303]; [63, 0.98473]; [64, 0.98626]; [65, 0.98763]; [66, 0.98887]; [67, 0.98998]; [68, 0.99098]; [69, 0.99188]; [70, 0.99269]; [71, 0.99342]; [72, 0.99408]; [73, 0.99467]; [74, 0.9952]; [75, 0.99568]; [76, 0.99611]; [77, 0.9965]; [78, 0.99685]; [79, 0.99716]; [80, 0.99744]; [81, 0.9977]; [82, 0.99793]; [83, 0.99814]; [84, 0.99833]; [85, 0.9985]; [86, 0.99865]; [87, 0.99879]; [88, 0.99891]; [89, 0.99902]; [90, 0.99912]; [91, 0.99921]; [92, 0.99929]; [93, 0.99936]; [94, 0.99942]; [95, 0.99948]; [96, 0.99953]; [97, 0.99958]; [98, 0.99962]; [99, 0.99966]; [100, 0.99969]"
3,3,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100]","[0, 0]; [1, 0.0]; [2, 0.00101]; [3, 0.00303]; [4, 0.00608]; [5, 0.01023]; [6, 0.01557]; [7, 0.02222]; [8, 0.03035]; [9, 0.04015]; [10, 0.05186]; [11, 0.06577]; [12, 0.08222]; [13, 0.10162]; [14, 0.12444]; [15, 0.15119]; [16, 0.18247]; [17, 0.21899]; [18, 0.26159]; [19, 0.30937]; [20, 0.36175]; [21, 0.41893]; [22, 0.47548]; [23, 0.52793]; [24, 0.57514]; [25, 0.61763]; [26, 0.65587]; [27, 0.69028]; [28, 0.72125]; [29, 0.74912]; [30, 0.77421]; [31, 0.79679]; [32, 0.81711]; [33, 0.8354]; [34, 0.85186]; [35, 0.86667]; [36, 0.88]; [37, 0.892]; [38, 0.9028]; [39, 0.91252]; [40, 0.92127]; [41, 0.92914]; [42, 0.93623]; [43, 0.94261]; [44, 0.94835]; [45, 0.95352]; [46, 0.95817]; [47, 0.96235]; [48, 0.96612]; [49, 0.96951]; [50, 0.97256]; [51, 0.9753]; [52, 0.97777]; [53, 0.97999]; [54, 0.98199]; [55, 0.98379]; [56, 0.98541]; [57, 0.98687]; [58, 0.98818]; [59, 0.98936]; [60, 0.99042]; [61, 0.99138]; [62, 0.99224]; [63, 0.99302]; [64, 0.99372]; [65, 0.99435]; [66, 0.99491]; [67, 0.99542]; [68, 0.99588]; [69, 0.99629]; [70, 0.99666]; [71, 0.99699]; [72, 0.99729]; [73, 0.99756]; [74, 0.9978]; [75, 0.99802]; [76, 0.99822]; [77, 0.9984]; [78, 0.99856]; [79, 0.9987]; [80, 0.99883]; [81, 0.99895]; [82, 0.99906]; [83, 0.99915]; [84, 0.99923]; [85, 0.99931]; [86, 0.99938]; [87, 0.99944]; [88, 0.9995]; [89, 0.99955]; [90, 0.9996]; [91, 0.99964]; [92, 0.99968]; [93, 0.99971]; [94, 0.99974]; [95, 0.99977]; [96, 0.99979]; [97, 0.99981]; [98, 0.99983]; [99, 0.99985]; [100, 0.99987]"
4,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100]","[0, 0]; [1, 0.0125]; [2, 0.02463]; [3, 0.03676]; [4, 0.04923]; [5, 0.06237]; [6, 0.07564]; [7, 0.08936]; [8, 0.10382]; [9, 0.11933]; [10, 0.1362]; [11, 0.15476]; [12, 0.17537]; [13, 0.19843]; [14, 0.22437]; [15, 0.25199]; [16, 0.2835]; [17, 0.31895]; [18, 0.3551]; [19, 0.38924]; [20, 0.42177]; [21, 0.45304]; [22, 0.48336]; [23, 0.51304]; [24, 0.5424]; [25, 0.5718]; [26, 0.60162]; [27, 0.63229]; [28, 0.66303]; [29, 0.69108]; [30, 0.71671]; [31, 0.74019]; [32, 0.76176]; [33, 0.78162]; [34, 0.79998]; [35, 0.81701]; [36, 0.83287]; [37, 0.8477]; [38, 0.86162]; [39, 0.87473]; [40, 0.88712]; [41, 0.89841]; [42, 0.90857]; [43, 0.91771]; [44, 0.92594]; [45, 0.93335]; [46, 0.94002]; [47, 0.94602]; [48, 0.95142]; [49, 0.95628]; [50, 0.96065]; [51, 0.96459]; [52, 0.96813]; [53, 0.97132]; [54, 0.97419]; [55, 0.97677]; [56, 0.97909]; [57, 0.98118]; [58, 0.98306]; [59, 0.98475]; [60, 0.98628]; [61, 0.98765]; [62, 0.98889]; [63, 0.99]; [64, 0.991]; [65, 0.9919]; [66, 0.99271]; [67, 0.99344]; [68, 0.9941]; [69, 0.99469]; [70, 0.99522]; [71, 0.9957]; [72, 0.99613]; [73, 0.99652]; [74, 0.99687]; [75, 0.99718]; [76, 0.99746]; [77, 0.99771]; [78, 0.99794]; [79, 0.99815]; [80, 0.99833]; [81, 0.9985]; [82, 0.99865]; [83, 0.99879]; [84, 0.99891]; [85, 0.99902]; [86, 0.99912]; [87, 0.99921]; [88, 0.99929]; [89, 0.99936]; [90, 0.99942]; [91, 0.99948]; [92, 0.99953]; [93, 0.99958]; [94, 0.99962]; [95, 0.99966]; [96, 0.99969]; [97, 0.99972]; [98, 0.99975]; [99, 0.99977]; [100, 0.99979]"
5,5,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100]","[0, 0]; [1, 0.0125]; [2, 0.02757]; [3, 0.04544]; [4, 0.0664]; [5, 0.0756]; [6, 0.08429]; [7, 0.09255]; [8, 0.10046]; [9, 0.10811]; [10, 0.11557]; [11, 0.12293]; [12, 0.13028]; [13, 0.13704]; [14, 0.14326]; [15, 0.14914]; [16, 0.15481]; [17, 0.16042]; [18, 0.16608]; [19, 0.1719]; [20, 0.17793]; [21, 0.18422]; [22, 0.19082]; [23, 0.19778]; [24, 0.20514]; [25, 0.21294]; [26, 0.22123]; [27, 0.23005]; [28, 0.23944]; [29, 0.24946]; [30, 0.26014]; [31, 0.27154]; [32, 0.28371]; [33, 0.2967]; [34, 0.31058]; [35, 0.32539]; [36, 0.34116]; [37, 0.35792]; [38, 0.37566]; [39, 0.39438]; [40, 0.41357]; [41, 0.43279]; [42, 0.45184]; [43, 0.47074]; [44, 0.48946]; [45, 0.50798]; [46, 0.52627]; [47, 0.5443]; [48, 0.56204]; [49, 0.57947]; [50, 0.5961]; [51, 0.61149]; [52, 0.62534]; [53, 0.63781]; [54, 0.64903]; [55, 0.65913]; [56, 0.66822]; [57, 0.6764]; [58, 0.68376]; [59, 0.69038]; [60, 0.69634]; [61, 0.70171]; [62, 0.70654]; [63, 0.71089]; [64, 0.7148]; [65, 0.71832]; [66, 0.72149]; [67, 0.72434]; [68, 0.72691]; [69, 0.72922]; [70, 0.7313]; [71, 0.73317]; [72, 0.73485]; [73, 0.73636]; [74, 0.73772]; [75, 0.73895]; [76, 0.74006]; [77, 0.74105]; [78, 0.74195]; [79, 0.74276]; [80, 0.74348]; [81, 0.74413]; [82, 0.74472]; [83, 0.74525]; [84, 0.74572]; [85, 0.74615]; [86, 0.74653]; [87, 0.74688]; [88, 0.74719]; [89, 0.74747]; [90, 0.74772]; [91, 0.74795]; [92, 0.74816]; [93, 0.74834]; [94, 0.74851]; [95, 0.74866]; [96, 0.74879]; [97, 0.74891]; [98, 0.74902]; [99, 0.74912]; [100, 0.74921]"
6,6,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100]","[0, 1]; [1, 1]; [2, 1]; [3, 1]; [4, 1]; [5, 1]; [6, 1]; [7, 1]; [8, 1]; [9, 1]; [10, 1]; [11, 1]; [12, 1]; [13, 1]; [14, 1]; [15, 1]; [16, 1]; [17, 1]; [18, 1]; [19, 1]; [20, 1]; [21, 1]; [22, 1]; [23, 1]; [24, 1]; [25, 1]; [26, 1]; [27, 1]; [28, 1]; [29, 1]; [30, 1]; [31, 1]; [32, 1]; [33, 1]; [34, 1]; [35, 1]; [36, 1]; [37, 1]; [38, 1]; [39, 1]; [40, 1]; [41, 1]; [42, 1]; [43, 1]; [44, 1]; [45, 1]; [46, 1]; [47, 1]; [48, 1]; [49, 1]; [50, 1]; [51, 1]; [52, 1]; [53, 1]; [54, 1]; [55, 1]; [56, 1]; [57, 1]; [58, 1]; [59, 1]; [60, 1]; [61, 1]; [62, 1]; [63, 1]; [64, 1]; [65, 1]; [66, 1]; [67, 1]; [68, 1]; [69, 1]; [70, 1]; [71, 1]; [72, 1]; [73, 1]; [74, 1]; [75, 1]; [76, 1]; [77, 1]; [78, 1]; [79, 1]; [80, 1]; [81, 1]; [82, 1]; [83, 1]; [84, 1]; [85, 1]; [86, 1]; [87, 1]; [88, 1]; [89, 1]; [90, 1]; [91, 1]; [92, 1]; [93, 1]; [94, 1]; [95, 1]; [96, 1]; [97, 1]; [98, 1]; [99, 1]; [100, 1]"
7,7,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100]","[0, 0]; [1, 0.00769]; [2, 0.01645]; [3, 0.02648]; [4, 0.03801]; [5, 0.0346]; [6, 0.03112]; [7, 0.02758]; [8, 0.02396]; [9, 0.02026]; [10, 0.01645]; [11, 0.01251]; [12, 0.00841]; [13, 0.00411]; [14, -0.00043]; [15, -0.00526]; [16, -0.01043]; [17, -0.01602]; [18, -0.0221]; [19, -0.02875]; [20, -0.03603]; [21, -0.044]; [22, -0.05272]; [23, -0.06227]; [24, -0.07275]; [25, -0.08427]; [26, -0.09695]; [27, -0.11095]; [28, -0.12644]; [29, -0.14359]; [30, -0.1626]; [31, -0.18371]; [32, -0.20718]; [33, -0.2333]; [34, -0.2623]; [35, -0.29408]; [36, -0.32905]; [37, -0.36763]; [38, -0.40959]; [39, -0.45142]; [40, -0.49081]; [41, -0.52634]; [42, -0.55832]; [43, -0.5871]; [44, -0.61301]; [45, -0.63632]; [46, -0.6573]; [47, -0.67619]; [48, -0.69319]; [49, -0.70849]; [50, -0.72226]; [51, -0.73465]; [52, -0.7458]; [53, -0.75584]; [54, -0.76487]; [55, -0.773]; [56, -0.78032]; [57, -0.7869]; [58, -0.79283]; [59, -0.79816]; [60, -0.80296]; [61, -0.80728]; [62, -0.81117]; [63, -0.81467]; [64, -0.81782]; [65, -0.82065]; [66, -0.8232]; [67, -0.8255]; [68, -0.82757]; [69, -0.82943]; [70, -0.8311]; [71, -0.83261]; [72, -0.83396]; [73, -0.83518]; [74, -0.83628]; [75, -0.83727]; [76, -0.83816]; [77, -0.83896]; [78, -0.83968]; [79, -0.84033]; [80, -0.84091]; [81, -0.84143]; [82, -0.8419]; [83, -0.84233]; [84, -0.84271]; [85, -0.84305]; [86, -0.84336]; [87, -0.84364]; [88, -0.84389]; [89, -0.84412]; [90, -0.84432]; [91, -0.8445]; [92, -0.84467]; [93, -0.84482]; [94, -0.84495]; [95, -0.84507]; [96, -0.84518]; [97, -0.84528]; [98, -0.84537]; [99, -0.84545]; [100, -0.84552]"
8,8,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100]","[0, 0]; [1, 0.0]; [2, 0.00231]; [3, 0.00692]; [4, 0.01388]; [5, -1]; [6, -1]; [7, -1]; [8, -1]; [9, -1]; [10, -1]; [11, -1]; [12, -1]; [13, -1]; [14, -1]; [15, -1]; [16, -1]; [17, -1]; [18, -1]; [19, -1]; [20, -1]; [21, -1]; [22, -1]; [23, -1]; [24, -1]; [25, -1]; [26, -1]; [27, -1]; [28, -1]; [29, -1]; [30, -1]; [31, -1]; [32, -1]; [33, -1]; [34, -1]; [35, -1]; [36, -1]; [37, -1]; [38, -1]; [39, -1]; [40, -1]; [41, -1]; [42, -1]; [43, -1]; [44, -1]; [45, -1]; [46, -1]; [47, -1]; [48, -1]; [49, -1]; [50, -1]; [51, -1]; [52, -1]; [53, -1]; [54, -1]; [55, -1]; [56, -1]; [57, -1]; [58, -1]; [59, -1]; [60, -1]; [61, -1]; [62, -1]; [63, -1]; [64, -1]; [65, -1]; [66, -1]; [67, -1]; [68, -1]; [69, -1]; [70, -1]; [71, -1]; [72, -1]; [73, -1]; [74, -1]; [75, -1]; [76, -1]; [77, -1]; [78, -1]; [79, -1]; [80, -1]; [81, -1]; [82, -1]; [83, -1]; [84, -1]; [85, -1]; [86, -1]; [87, -1]; [88, -1]; [89, -1]; [90, -1]; [91, -1]; [92, -1]; [93, -1]; [94, -1]; [95, -1]; [96, -1]; [97, -1]; [98, -1]; [99, -1]; [100, -1]"
9,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100]","[0, 0]; [1, 0.0]; [2, 0.00122]; [3, 0.00407]; [4, 0.00894]; [5, 0.01623]; [6, 0.02638]; [7, 0.03977]; [8, 0.05681]; [9, 0.07798]; [10, 0.10383]; [11, 0.135]; [12, 0.17222]; [13, 0.21634]; [14, 0.26834]; [15, 0.32776]; [16, 0.39067]; [17, 0.4516]; [18, 0.50644]; [19, 0.5558]; [20, 0.60022]; [21, 0.6402]; [22, 0.67618]; [23, 0.70856]; [24, 0.7377]; [25, 0.76393]; [26, 0.78754]; [27, 0.80879]; [28, 0.82791]; [29, 0.84512]; [30, 0.86061]; [31, 0.87455]; [32, 0.8871]; [33, 0.89839]; [34, 0.90855]; [35, 0.91769]; [36, 0.92592]; [37, 0.93333]; [38, 0.94]; [39, 0.946]; [40, 0.9514]; [41, 0.95626]; [42, 0.96063]; [43, 0.96457]; [44, 0.96811]; [45, 0.9713]; [46, 0.97417]; [47, 0.97675]; [48, 0.97908]; [49, 0.98117]; [50, 0.98305]; [51, 0.98474]; [52, 0.98627]; [53, 0.98764]; [54, 0.98888]; [55, 0.98999]; [56, 0.99099]; [57, 0.99189]; [58, 0.9927]; [59, 0.99343]; [60, 0.99409]; [61, 0.99468]; [62, 0.99521]; [63, 0.99569]; [64, 0.99612]; [65, 0.99651]; [66, 0.99686]; [67, 0.99717]; [68, 0.99745]; [69, 0.9977]; [70, 0.99793]; [71, 0.99814]; [72, 0.99833]; [73, 0.9985]; [74, 0.99865]; [75, 0.99879]; [76, 0.99891]; [77, 0.99902]; [78, 0.99912]; [79, 0.99921]; [80, 0.99929]; [81, 0.99936]; [82, 0.99942]; [83, 0.99948]; [84, 0.99953]; [85, 0.99958]; [86, 0.99962]; [87, 0.99966]; [88, 0.99969]; [89, 0.99972]; [90, 0.99975]; [91, 0.99977]; [92, 0.99979]; [93, 0.99981]; [94, 0.99983]; [95, 0.99985]; [96, 0.99987]; [97, 0.99988]; [98, 0.99989]; [99, 0.9999]; [100, 0.99991]"
