Source,Target,Conversation Messages
7,178,756
99,103,92
167,19,231
56,60,51
6,50,112
19,178,49
177,115,169
139,29,722
60,12,799
174,51,810
48,95,31
142,141,131
37,88,11
103,88,17
34,6,96
118,20,332
157,28,52
5,172,73
102,167,38
174,78,397
31,141,16
163,73,112
7,154,391
95,63,69
24,104,265
151,138,1104
65,109,79
153,42,1267
86,74,80
74,63,39
19,152,116
67,5,176
32,89,283
158,8,78
127,15,48
140,88,121
146,48,18
176,67,80
168,67,232
51,79,404
40,178,478
146,86,43
154,136,48
132,23,233
20,40,27
103,20,38
8,114,107
159,60,40
171,32,686
111,27,150
140,74,20
7,19,164
12,124,55
78,8,148
94,122,259
175,51,238
126,154,192
40,118,378
116,35,666
65,168,181
122,20,158
81,148,104
117,127,19
78,179,69
172,0,68
60,144,63
171,42,108
146,74,85
35,17,99
75,67,459
154,20,195
122,103,260
61,160,248
105,31,453
161,25,113
63,144,471
32,7,59
91,15,127
160,119,90
136,122,191
93,84,356
3,121,233
141,170,67
12,159,143
57,78,66
176,0,46
109,176,168
168,176,357
45,152,17
160,67,28
99,94,234
160,168,192
132,25,158
76,80,346
67,109,49
170,156,27
122,83,311
140,178,28
7,89,526
90,104,754
95,56,69
130,3,123
178,86,302
87,177,161
53,175,193
75,176,79
111,6,36
21,138,247
32,20,203
60,95,165
142,105,69
154,42,111
162,32,386
45,32,374
6,110,145
0,5,460
39,3,88
6,22,406
99,42,134
2,38,65
116,34,420
144,74,141
144,124,258
40,83,111
122,154,152
32,136,193
42,178,99
73,162,90
126,89,183
49,135,65
136,171,96
79,68,15
177,129,55
108,36,745
19,94,104
162,103,70
84,69,221
83,32,468
150,115,171
122,7,117
130,97,26
95,124,379
47,140,39
147,61,490
93,156,983
27,44,10
178,99,171
87,162,123
108,110,98
164,51,153
8,17,450
124,146,37
4,160,70
144,48,264
55,37,120
162,122,67
51,87,213
56,146,216
152,178,124
65,6,50
65,176,39
140,48,173
86,60,71
161,175,50
56,12,53
42,19,239
152,7,284
115,113,566
5,13,251
143,36,142
13,176,110
64,58,49
126,45,19
170,142,245
39,92,398
44,111,72
19,131,786
86,63,112
64,143,24
146,12,243
62,81,167
124,48,277
105,170,99
171,118,233
129,162,185
40,7,125
143,108,34
74,56,70
6,121,167
136,19,225
82,115,94
75,168,132
139,128,38
144,146,67
89,154,61
131,55,417
7,136,217
143,14,94
17,114,210
136,94,203
7,83,341
122,89,32
51,104,487
89,45,146
12,95,149
89,40,57
152,42,150
8,174,511
30,139,391
19,126,45
55,167,203
34,8,480
160,133,1200
72,54,129
105,84,45
69,1,4664
169,43,373
122,126,675
109,0,419
51,82,251
171,122,115
152,89,665
136,118,110
42,32,2500
64,110,232
115,167,52
16,161,17
178,94,538
48,12,187
53,88,63
50,67,97
32,153,64
94,171,117
118,122,33
111,157,114
99,40,154
68,76,71
118,19,81
87,167,101
145,120,292
86,144,6
56,144,223
165,38,207
170,1,415
42,162,87
174,57,68
